"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"215","Zach Ertz","ARZ","te","14","34","140.7","0","0","0","0","0","0","0","0","0","0","85.1552","62.03","572.275","3.5374","0.5194","0.2598","0.2222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Tyquan Thornton","NE","wr","11","34","182.3","0","0","0","0","0","0","0","6.714","41.6598","0.3858","109.3488","66.1442","818.205","4.6324","0.6562","0.328","0.1886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Dontayvion Wicks","GB","wr","6","34","180.8","0","0","0","0","0","0","0","0","0","0","104.5112","61.522","914.6578","4.639","0.5844","0.2922","0.1426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Kene Nwangwu","MIN","rb","13","34","146.2","0","0","0","0","0","0","0","192.947","663.3178","4.2768","34.7516","28.6116","201.7168","1.0506","2.216","1.108","0.1344","2089.3756","1.4148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Jauan Jennings","SF","wr","9","34","177.8","0","0","0","0","0","0","0","0","0","0","104.77","68.6886","794.205","4.9582","0.9316","0.4658","0.1796","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Tyler Allgeier","ATL","rb","11","34","145.6","0","0","0","0","0","0","0","136.885","665.4796","3.9766","34.8954","28.2326","204.8262","1.0598","0.7892","0.3946","0.2432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Will Dissly","SEA","te","5","34","133.7","0","0","0","0","0","0","0","0","0","0","69.8882","54.3052","545.721","4.1254","0.7068","0.3534","0.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","Isaiah Likely","BLT","te","13","34","132","0","0","0","0","0","0","0","0","0","0","73.8368","51.3214","552.8464","4.2364","0.5642","0.282","0.1338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Nick Westbrook-Ikhine","TEN","wr","7","34","173.5","0","0","0","0","0","0","0","0","0","0","93.7062","60.8828","839.0264","4.8118","0.6606","0.3304","0.1076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Kendrick Bourne","NE","wr","11","34","170.7","0","0","0","0","0","0","0","9.2318","52.059","0.4672","83.417","60.6216","768.3214","4.2458","0.9968","0.4984","0.1456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Kendre Miller","NO","rb","11","34","135.8","0","0","0","0","0","0","0","116.6846","509.9946","3.212","40.6032","32.8914","251.6362","1.2938","1.0626","0.5312","0.103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Baker Mayfield","TB","qb","5","34","401.6","0","581.0824","930.7246","6066.6992","34.0448","22.5794","72.1712","70.6206","284.9834","3.5324","0","0","0","0","14.1678","7.084","1.3588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Corey Davis","NYJ","wr","7","34","165.2","0","0","0","0","0","0","0","0","0","0","90.8246","51.903","854.2288","4.6666","0.8328","0.4164","0.1284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Colby Parkinson","SEA","te","5","34","122.4","0","0","0","0","0","0","0","0","0","0","68.1706","50.3388","502.0912","3.6218","0.5658","0.2828","0.1888","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Durham Smythe","MIA","te","10","34","122.3","0","0","0","0","0","0","0","0","0","0","68.0826","52.2592","489.56","3.4934","0.5642","0.2822","0.1804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
