Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Zack Moss,IND,46.0,208.0,1.2,6.00,5.00,34.0,0.30,38.2
Zach Evans,LA,54.0,222.0,1.7,4.00,3.00,20.0,,37.4
Demetric Felton,CLE,22.0,91.0,0.5,13.00,11.00,76.0,0.50,33.7
Trayveon Williams,CIN,29.0,124.0,0.9,7.00,6.00,40.0,,27.8
Ronald Jones,DAL,36.0,150.0,1.1,2.00,2.00,10.0,,24.6
Isaiah Spiller,LAC,37.0,140.0,0.9,4.00,3.00,22.0,,24.6
Kene Nwangwu,MIN,18.0,75.0,0.6,8.00,6.00,44.0,0.30,23.3
Kenny McIntosh,SEA,22.0,89.0,0.7,6.00,4.00,33.0,0.30,22.2
Ty Montgomery,NE,11.0,46.0,0.4,10.00,8.00,46.0,0.40,22.0
Jordan Mason,SF,26.0,115.0,0.8,3.00,3.00,19.0,,21.2
Raheem Blackshear,CAR,20.0,85.0,0.6,6.00,5.00,36.0,,20.7
Sean Tucker,TB,26.0,104.0,0.8,3.00,3.00,17.0,0.10,20.5
Deneric Prince,KC,19.0,78.0,0.6,5.00,4.00,32.0,0.30,20.4
Malik Davis,DAL,29.0,121.0,0.9,1.00,1.00,8.0,,19.3
DeeJay Dallas,SEA,15.0,63.0,0.4,6.00,5.00,35.0,0.30,19.0
DeWayne McBride,MIN,29.0,120.0,0.9,1.00,1.00,6.0,,19.0
Melvin Gordon,BAL,18.0,90.0,0.6,3.00,3.00,20.0,0.20,18.8
Craig Reynolds,DET,20.0,80.0,0.6,4.00,4.00,30.0,,18.6
Corey Clement,ARI,22.0,86.0,0.7,4.00,3.00,17.0,,17.5
Pierre Strong,CLE,19.0,82.0,0.6,2.00,2.00,12.0,0.40,17.4
Boston Scott,PHI,24.0,102.0,0.8,1.00,1.00,4.0,,16.4
Brandon Bolden,LV,18.0,72.0,0.6,4.00,3.00,20.0,,15.8
Deon Jackson,IND,9.0,40.0,0.2,7.00,6.00,39.0,,15.1
Chase Brown,CIN,18.0,77.0,0.6,2.00,2.00,14.0,,14.7
Chris Rodriguez,WAS,13.0,55.0,0.4,4.00,3.00,22.0,,13.1
Hassan Haskins,TEN,13.0,53.0,0.4,3.00,2.00,17.0,,11.4
Tyrion Davis-Price,SF,9.0,38.0,0.3,2.00,2.00,12.0,,8.8
James Robinson,NYG,9.0,36.0,0.3,2.00,2.00,11.0,,8.5
Tony Jones,DEN,13.0,47.0,0.3,2.00,1.00,7.0,,8.2
Evan Hull,IND,9.0,40.0,0.2,1.00,1.00,4.0,,6.6
Royce Freeman,LA,7.0,29.0,0.2,1.00,1.00,8.0,,5.9
Kevin Harris,NE,4.0,16.0,0.1,1.00,1.00,4.0,0.20,4.8
Kenyan Drake,IND,5.0,20.0,0.1,1.00,1.00,4.0,,4.0
D'Ernest Johnson,JAC,4.0,16.0,0.1,1.00,1.00,6.0,,3.8
Israel Abanikanda,NYJ,4.0,15.0,0.1,1.00,1.00,4.0,,3.5
Ty'Son Williams,ARI,4.0,14.0,0.1,1.00,,2.0,,2.2
