"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"17","Joe Mixon","CIN","rb","7","17","248","36","0","0","0","0","0","0","245.5209","1008.8031","7.7477","59.6898","50.2808","363.4411","2.3942","0.8392","0.4196","0.0198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Stefon Diggs","BUF","wr","13","17","262.2","36","0","0","0","0","0","0","0","0","0","136.2479","94.9773","1206.1456","7.7562","0.846","0.423","0.2536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Aaron Jones","GB","rb","6","17","246","36","0","0","0","0","0","0","211.3622","978.1555","5.9342","72.3894","57.8112","393.2175","2.7537","3.0546","1.5273","0.2481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Davante Adams","LV","wr","13","17","256","34","0","0","0","0","0","0","0","0","0","139.3407","92.3343","1167.7218","7.8419","0.537","0.2685","0.0663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Najee Harris","PIT","rb","6","17","235.6","33","0","0","0","0","0","0","267.3124","1111.3759","7.6283","48.6147","39.2235","293.2332","1.7822","1.1715","0.5858","0.0139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","CeeDee Lamb","DAL","wr","7","17","249.4","32","0","0","0","0","0","0","0","0","0","132.8229","90.9322","1179.6979","6.7347","0.3525","0.1762","0.1098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Josh Allen","BUF","qb","13","17","364.6","31","357.0996","561.1782","4379.7667","27.8619","13.5236","32.8503","108.8988","675.0094","4.4737","0","0","0","0","10.0673","5.0336","1.0688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Travis Etienne","JAX","rb","9","17","230.8","31","0","0","0","0","0","0","234.1613","1129.8608","6.6258","49.1555","40.2358","300.0465","1.4123","2.7051","1.3526","0.3238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Amon-Ra St. Brown","DET","wr","9","17","246.4","31","0","0","0","0","0","0","8.0608","49.8279","0.4622","135.1829","101.9384","1030.4577","5.5995","0.625","0.3125","0.188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","A.J. Brown","PHI","wr","10","17","239","29","0","0","0","0","0","0","0","0","0","126.4454","78.416","1184.26","7.0718","0.8419","0.421","0.0514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
